martialarts,movie,disaster,scifi,adventure,comedy,action,horror,romance,spy
0.03537694364786148,jumanjiwelcometothejungle,0.01924191229045391,0.29244011640548706,0.10831103473901749,0.29614630341529846,0.3243323862552643,0.14311648905277252,0.04424435645341873,0.02253596857190132
0.02935669757425785,paul,0.012137601152062416,0.08194518089294434,0.06865217536687851,0.7675262093544006,0.24918411672115326,0.09389586001634598,0.026543859392404556,0.08088325709104538
0.15626907348632812,shaolinsoccer,0.013690617866814137,0.01745571196079254,0.08635546267032623,0.8678260445594788,0.433704674243927,0.03631800040602684,0.10425633192062378,0.05962677672505379
0.09026879817247391,spectre,0.010919392108917236,0.08527886867523193,0.17778977751731873,0.06260566413402557,0.6206375360488892,0.0960855633020401,0.15865662693977356,0.03608880192041397
0.041454657912254333,sputnik,0.04447956755757332,0.5841248035430908,0.12371069192886353,0.031850721687078476,0.17313148081302643,0.4511357247829437,0.10698466747999191,0.019691379740834236
0.07085493206977844,thecore,0.02916799485683441,0.434845894575119,0.1847112774848938,0.16641651093959808,0.05348969250917435,0.4428800940513611,0.19006086885929108,0.04452173784375191
0.039207011461257935,thediscovery,0.025035010650753975,0.3218795359134674,0.06642243266105652,0.18614165484905243,0.3085803985595703,0.21432696282863617,0.12846621870994568,0.032865628600120544
0.2200189083814621,theedgeofseventeen,0.011002362705767155,0.05528363585472107,0.028362911194562912,0.9179276823997498,0.19625581800937653,0.041846863925457,0.0654461607336998,0.12856614589691162
0.10339708626270294,thefastandthefurioustokyodrift,0.018438613042235374,0.06178092584013939,0.028189273551106453,0.8877413272857666,0.38273701071739197,0.022727789357304573,0.05599934607744217,0.07877325266599655
0.3747481405735016,thefinalmaster,0.0063480171374976635,0.022356951609253883,0.02614380046725273,0.7813615798950195,0.5796918869018555,0.02735169790685177,0.013903098180890083,0.24454444646835327
0.1439012587070465,thekissingbooth,0.010788260959088802,0.20152056217193604,0.05112563818693161,0.8564374446868896,0.06349152326583862,0.03514350205659866,0.23382702469825745,0.030379749834537506
0.01280197687447071,theperfectstorm,0.04504256695508957,0.5185017585754395,0.21588066220283508,0.04180050268769264,0.3318594992160797,0.29455816745758057,0.049164969474077225,0.02574760839343071
0.05180012807250023,thephotograph,0.038933198899030685,0.2742249667644501,0.08110610395669937,0.10316706448793411,0.37944918870925903,0.1036837249994278,0.08492027223110199,0.06618917733430862
0.04988931864500046,thering,0.015193630009889603,0.1826169341802597,0.05712862312793732,0.15105704963207245,0.3020069897174835,0.7108489871025085,0.038909781724214554,0.01959124021232128
0.11318891495466232,theseventhadventuresofsinbad,0.20331071317195892,0.19687420129776,0.25943127274513245,0.22719386219978333,0.4472638964653015,0.09654226154088974,0.07565118372440338,0.04267500713467598
0.23794753849506378,thismeanswar,0.019267605617642403,0.09101620316505432,0.04044031351804733,0.8959572911262512,0.2095523327589035,0.017021382227540016,0.16074873507022858,0.1266738623380661
0.1747802495956421,triplefrontier,0.03173037990927696,0.11204762011766434,0.04402924329042435,0.6552766561508179,0.150418221950531,0.03509367257356644,0.022375622764229774,0.06944505125284195
0.05311160907149315,tronlegacy,0.01832570508122444,0.14391832053661346,0.08702193945646286,0.04566099867224693,0.5225176811218262,0.391198992729187,0.034886136651039124,0.0637657567858696
0.08542682975530624,vampiresvsthebronx,0.007162347435951233,0.07811131328344345,0.031833261251449585,0.9170665740966797,0.35193079710006714,0.009655230678617954,0.5525420904159546,0.0816928893327713
0.12448142468929291,womb,0.03751800209283829,0.22094298899173737,0.023048685863614082,0.13280130922794342,0.17860916256904602,0.03192666918039322,0.17614613473415375,0.06283079087734222
0.0354779027402401,worldwarz,0.08381246775388718,0.15139375627040863,0.05744234472513199,0.07416335493326187,0.568885087966919,0.15278126299381256,0.04520358145236969,0.08032198995351791
0.4861780107021332,zoolander2,0.013313328847289085,0.02708616852760315,0.09390506893396378,0.6858396530151367,0.5017133355140686,0.04522980749607086,0.026797287166118622,0.08262128382921219
