,movie,total_sent_num,avg_dialogue_speed,avg_word_per_sent,genre,disaster,scifi,action,horror,romance,comedy,spy,martialarts,adventure
54,mortalkombat,835,2.08620454080698,27.506586826347302,"['action', 'martialarts']",0,0,1,0,0,0,0,1,0
55,mrandmrssmith,1749,2.5452060201426443,20.817610062893078,"['action', 'comedy']",0,0,1,0,0,1,0,0,0
56,mrsdoubtfire,2457,2.3699126477239174,23.874236874236875,['comedy'],0,0,0,0,0,1,0,0,0
57,ouija,892,2.9376726031359754,24.858744394618835,['horror'],0,0,0,1,0,0,0,0,0
58,oxygen,1124,2.5228293616683892,22.911032028469748,['scifi'],0,1,0,0,0,0,0,0,0
59,passengers,1364,2.732022647134635,24.931818181818183,"['scifi', 'romance']",0,1,0,0,1,0,0,0,0
60,pussinboots,1259,2.052936821287639,27.660047656870532,['adventure'],0,0,0,0,0,0,0,0,1
61,rememberme,1661,2.6187503815324096,23.54665863937387,['romance'],0,0,0,0,1,0,0,0,0
62,rio,1620,2.3734436080926202,24.759876543209877,"['comedy', 'adventure']",0,0,0,0,0,1,0,0,1
63,rushhour2,1663,2.9115664562370176,24.48286229705352,"['comedy', 'martialarts']",0,0,0,0,0,1,0,1,0
64,sanandreas,1708,2.532589463953828,23.060889929742387,['disaster'],1,0,0,0,0,0,0,0,0
65,schoolofrock,2140,2.5341833369187587,27.08971962616823,['comedy'],0,0,0,0,0,1,0,0,0
66,seafever,1107,2.5330173660677437,21.532068654019877,"['scifi', 'horror']",0,1,0,1,0,0,0,0,0
67,sharknado,1242,3.3864779141370214,23.12077294685991,"['disaster', 'scifi']",1,1,0,0,0,0,0,0,0
68,shaunofthedead,1892,2.428218731751352,23.02589852008457,"['horror', 'comedy']",0,0,0,1,0,1,0,0,0
69,skyline,866,2.2323067911296817,19.475750577367204,"['disaster', 'scifi']",1,1,0,0,0,0,0,0,0
70,theconjuring,1421,2.807328799814198,23.489795918367342,['horror'],0,0,0,1,0,0,0,0,0
